Date,Well0,Well2,Well3,Well5
7/6/18 17:50,0.77015,0.62885,0.5157,0.437
7/6/18 18:00,0.76985,0.62875,0.5153,0.434
7/6/18 18:10,0.76915,0.62805,0.5146,0.434
7/6/18 18:20,0.76895,0.62925,0.515,0.436
7/6/18 18:30,0.76905,0.62935,0.5155,0.436
7/6/18 18:40,0.76915,0.63135,0.5146,0.435
7/6/18 18:50,0.76865,0.63175,0.5152,0.434
7/6/18 19:00,0.76795,0.63175,0.5148,0.433
7/6/18 19:10,0.76685,0.62655,0.5125,0.433
7/6/18 19:20,0.76755,0.60225,0.513,0.432
7/6/18 19:30,0.76665,0.59125,0.5108,0.433
7/6/18 19:40,0.76735,0.58605,0.5111,0.432
7/6/18 19:50,0.76795,0.58375,0.5123,0.433
7/6/18 20:00,0.76735,0.58325,0.5099,0.433
7/6/18 20:10,0.76765,0.58455,0.5108,0.433
7/6/18 20:20,0.76835,0.58895,0.5103,0.434
7/6/18 20:30,0.76815,0.59115,0.509,0.433
7/6/18 20:40,0.76765,0.58955,0.5082,0.434
7/6/18 20:50,0.76835,0.58385,0.509,0.432
7/6/18 21:00,0.76895,0.58075,0.5093,0.432
7/6/18 21:10,0.76865,0.58005,0.5099,0.432
7/6/18 21:20,0.76865,0.57945,0.508,0.431
7/6/18 21:30,0.76955,0.58025,0.5098,0.432
7/6/18 21:40,0.76985,0.57855,0.5105,0.432
7/6/18 21:50,0.77105,0.57675,0.5118,0.43
7/6/18 22:00,0.77175,0.57585,0.5104,0.431
7/6/18 22:10,0.77155,0.57545,0.5111,0.432
7/6/18 22:20,0.77135,0.57625,0.5126,0.434
7/6/18 22:30,0.77015,0.57635,0.5125,0.434
7/6/18 22:40,0.76985,0.57725,0.5131,0.433
7/6/18 22:50,0.76865,0.57685,0.512,0.433
7/6/18 23:00,0.76935,0.57795,0.5113,0.433
7/6/18 23:10,0.76895,0.57885,0.5125,0.435
7/6/18 23:20,0.76805,0.57885,0.5119,0.435
7/6/18 23:30,0.76835,0.58025,0.5127,0.434
7/6/18 23:40,0.76905,0.58195,0.5134,0.436
7/6/18 23:50,0.76945,0.58285,0.5136,0.437
7/7/18 0:00,0.76995,0.58315,0.5149,0.436
7/7/18 0:10,0.77105,0.58365,0.5147,0.437
7/7/18 0:20,0.77135,0.58365,0.5137,0.437
7/7/18 0:30,0.77165,0.58345,0.5142,0.438
7/7/18 0:40,0.77165,0.58355,0.5138,0.438
7/7/18 0:50,0.77095,0.58305,0.5131,0.438
7/7/18 1:00,0.77185,0.58355,0.514,0.436
7/7/18 1:10,0.77185,0.58405,0.5139,0.438
7/7/18 1:20,0.77255,0.58625,0.5141,0.436
7/7/18 1:30,0.77165,0.58785,0.5128,0.436
7/7/18 1:40,0.77125,0.56855,0.5124,0.438
7/7/18 1:50,0.77125,0.55575,0.5132,0.436
7/7/18 2:00,0.77135,0.55105,0.5125,0.437
7/7/18 2:10,0.77165,0.54905,0.5131,0.437
7/7/18 2:20,0.77165,0.53995,0.5124,0.439
7/7/18 2:30,0.77205,0.54375,0.5138,0.437
7/7/18 2:40,0.77295,0.55165,0.5141,0.437
7/7/18 2:50,0.77295,0.55595,0.5129,0.436
7/7/18 3:00,0.77335,0.55965,0.5127,0.438
7/7/18 3:10,0.77115,0.56265,0.5117,0.437
7/7/18 3:20,0.77105,0.56395,0.5109,0.436
7/7/18 3:30,0.77395,0.56455,0.5098,0.436
7/7/18 3:40,0.77635,0.56625,0.5099,0.436
7/7/18 3:50,0.77845,0.56955,0.5114,0.437
7/7/18 4:00,0.77945,0.56025,0.5098,0.436
7/7/18 4:10,0.77945,0.55235,0.5092,0.435
7/7/18 4:20,0.77755,0.55095,0.5092,0.435
7/7/18 4:30,0.77585,0.55265,0.5088,0.437
7/7/18 4:40,0.77555,0.55505,0.5086,0.436
7/7/18 4:50,0.77755,0.55735,0.5081,0.436
7/7/18 5:00,0.78165,0.56075,0.5074,0.438
7/7/18 5:10,0.78065,0.55665,0.5072,0.437
7/7/18 5:20,0.77945,0.56015,0.5059,0.438
7/7/18 5:30,0.77915,0.56485,0.5048,0.437
7/7/18 5:40,0.78185,0.56705,0.5047,0.438
7/7/18 5:50,0.78265,0.56545,0.5039,0.436
7/7/18 6:00,0.78145,0.56395,0.503,0.437
7/7/18 6:10,0.78235,0.56175,0.487,0.436
7/7/18 6:20,0.78185,0.56125,0.4851,0.434
7/7/18 6:30,0.78225,0.56075,0.4861,0.434
7/7/18 6:40,0.78325,0.55995,0.4868,0.434
7/7/18 6:50,0.78235,0.55795,0.4873,0.436
7/7/18 7:00,0.78255,0.55675,0.4888,0.435
7/7/18 7:10,0.78155,0.55645,0.4883,0.434
7/7/18 7:20,0.78165,0.55815,0.4899,0.434
7/7/18 7:30,0.77995,0.56195,0.4906,0.436
7/7/18 7:40,0.77895,0.56425,0.4911,0.435
7/7/18 7:50,0.78045,0.56595,0.4917,0.436
7/7/18 8:00,0.78055,0.56705,0.4922,0.436
7/7/18 8:10,0.78205,0.56555,0.4928,0.435
7/7/18 8:20,0.78355,0.56525,0.4936,0.435
7/7/18 8:30,0.78125,0.56415,0.4943,0.435
7/7/18 8:40,0.78165,0.56385,0.494,0.435
7/7/18 8:50,0.78245,0.56405,0.4951,0.435
7/7/18 9:00,0.78475,0.56695,0.4981,0.437
7/7/18 9:10,0.78555,0.56805,0.4984,0.437
7/7/18 9:20,0.78575,0.56815,0.4971,0.436
7/7/18 9:30,0.78555,0.56785,0.4961,0.434
7/7/18 9:40,0.78725,0.57045,0.4967,0.435
7/7/18 9:50,0.78695,0.57155,0.497,0.435
7/7/18 10:00,0.78545,0.57165,0.4965,0.434
7/7/18 10:10,0.78435,0.57295,0.4989,0.436
7/7/18 10:20,0.78165,0.57405,0.4982,0.436
7/7/18 10:30,0.78005,0.57705,0.4975,0.435
7/7/18 10:40,0.78125,0.58065,0.4972,0.441
7/7/18 10:50,0.78135,0.58245,0.4969,0.44
7/7/18 11:00,0.78295,0.58305,0.497,0.437
7/7/18 11:10,0.78205,0.57935,0.4963,0.436
7/7/18 11:20,0.78315,0.57895,0.4996,0.436
7/7/18 11:30,0.78175,0.56975,0.4979,0.436
7/7/18 11:40,0.78215,0.56285,0.4993,0.437
7/7/18 11:50,0.78285,0.55595,0.498,0.44
7/7/18 12:00,0.78165,0.55125,0.4997,0.439
7/7/18 12:10,0.77935,0.54915,0.4968,0.438
7/7/18 12:20,0.77855,0.54835,0.4964,0.438
7/7/18 12:30,0.78045,0.55075,0.4976,0.438
7/7/18 12:40,0.77735,0.55145,0.4966,0.437
7/7/18 12:50,0.77435,0.55275,0.4973,0.437
7/7/18 13:00,0.77255,0.55415,0.4955,0.437
7/7/18 13:10,0.77105,0.55355,0.4935,0.439
7/7/18 13:20,0.76915,0.55135,0.4833,0.437
7/7/18 13:30,0.77205,0.55515,0.4879,0.448
7/7/18 13:40,0.77485,0.55805,0.4945,0.452
7/7/18 13:50,0.77795,0.55945,0.4994,0.454
7/7/18 14:00,0.77765,0.55665,0.5008,0.454
7/7/18 14:10,0.77825,0.55545,0.4999,0.453
7/7/18 14:20,0.77895,0.55395,0.4987,0.452
7/7/18 14:30,0.78285,0.55405,0.4988,0.452
7/7/18 14:40,0.78585,0.55485,0.4999,0.451
7/7/18 14:50,0.78835,0.55555,0.5015,0.453
7/7/18 15:00,0.79285,0.55735,0.5022,0.455
7/7/18 15:10,0.79925,0.55805,0.5025,0.456
7/7/18 15:20,0.80755,0.55965,0.5017,0.456
7/7/18 15:30,0.81775,0.56025,0.5024,0.452
7/7/18 15:40,0.82375,0.55835,0.5022,0.447
7/7/18 15:50,0.82775,0.55745,0.5015,0.448
7/7/18 16:00,0.83005,0.55775,0.5014,0.445
7/7/18 16:10,0.83315,0.55915,0.5007,0.445
7/7/18 16:20,0.83455,0.55885,0.5003,0.447
7/7/18 16:30,0.83415,0.55935,0.5008,0.446
7/7/18 16:40,0.83565,0.55855,0.5,0.446
7/7/18 16:50,0.83785,0.55965,0.5002,0.447
7/7/18 17:00,0.83935,0.56025,0.4986,0.446
7/7/18 17:10,0.84145,0.56125,0.498,0.446
7/7/18 17:20,0.84445,0.56085,0.4976,0.445
7/7/18 17:30,0.84535,0.56125,0.4964,0.447
7/7/18 17:40,0.84525,0.56155,0.4962,0.447
7/7/18 17:50,0.84505,0.56205,0.4952,0.445
7/7/18 18:00,0.84365,0.56185,0.495,0.444
7/7/18 18:10,0.84275,0.56315,0.4956,0.445
7/7/18 18:20,0.84125,0.56335,0.4955,0.445
7/7/18 18:30,0.84245,0.56335,0.4951,0.445
7/7/18 18:40,0.84365,0.56275,0.4932,0.446
7/7/18 18:50,0.84385,0.56305,0.4927,0.444
7/7/18 19:00,0.84305,0.56275,0.4914,0.445
7/7/18 19:10,0.84255,0.56145,0.4906,0.443
7/7/18 19:20,0.84335,0.56115,0.492,0.443
7/7/18 19:30,0.84105,0.56205,0.4924,0.446
7/7/18 19:40,0.84055,0.56235,0.4928,0.446
7/7/18 19:50,0.84015,0.56165,0.4929,0.443
7/7/18 20:00,0.83865,0.56205,0.4935,0.444
7/7/18 20:10,0.83835,0.56205,0.4916,0.443
7/7/18 20:20,0.83725,0.56255,0.4913,0.442
7/7/18 20:30,0.83455,0.56215,0.4905,0.444
7/7/18 20:40,0.83285,0.56155,0.4901,0.442
7/7/18 20:50,0.83005,0.56345,0.4904,0.445
7/7/18 21:00,0.82775,0.56455,0.4905,0.444
7/7/18 21:10,0.82575,0.56515,0.4901,0.443
7/7/18 21:20,0.82515,0.56655,0.4907,0.442
7/7/18 21:30,0.82375,0.56795,0.4921,0.444
7/7/18 21:40,0.82245,0.56725,0.4923,0.444
7/7/18 21:50,0.82125,0.56835,0.494,0.445
7/7/18 22:00,0.81925,0.56895,0.4939,0.445
7/7/18 22:10,0.81725,0.56945,0.4951,0.446
7/7/18 22:20,0.81545,0.57025,0.4952,0.444
7/7/18 22:30,0.81385,0.57025,0.4961,0.444
7/7/18 22:40,0.81135,0.56975,0.4959,0.444
7/7/18 22:50,0.81145,0.57065,0.4967,0.445
7/7/18 23:00,0.80755,0.57135,0.4972,0.444
7/7/18 23:10,0.80555,0.57145,0.4982,0.445
7/7/18 23:20,0.80385,0.57105,0.499,0.445
7/7/18 23:30,0.80385,0.57045,0.5004,0.444
7/7/18 23:40,0.80375,0.57075,0.5002,0.445
7/7/18 23:50,0.80305,0.57155,0.5014,0.443
7/8/18 0:00,0.80365,0.57185,0.502,0.444
7/8/18 0:10,0.80425,0.57295,0.5025,0.443
7/8/18 0:20,0.80315,0.57345,0.5016,0.443
7/8/18 0:30,0.80375,0.57415,0.5027,0.443
7/8/18 0:40,0.80255,0.57375,0.4996,0.444
7/8/18 0:50,0.80055,0.57445,0.5016,0.442
7/8/18 1:00,0.79985,0.57555,0.5033,0.445
7/8/18 1:10,0.79905,0.57565,0.5029,0.443
7/8/18 1:20,0.79925,0.57525,0.5024,0.443
7/8/18 1:30,0.80015,0.57555,0.5045,0.445
7/8/18 1:40,0.80085,0.57555,0.5054,0.445
7/8/18 1:50,0.79985,0.57525,0.5054,0.444
7/8/18 2:00,0.79915,0.57455,0.5064,0.444
7/8/18 2:10,0.79875,0.57435,0.5073,0.445
7/8/18 2:20,0.79865,0.57505,0.5094,0.445
7/8/18 2:30,0.79815,0.57425,0.5078,0.445
7/8/18 2:40,0.79855,0.57455,0.5083,0.446
7/8/18 2:50,0.79675,0.57255,0.5072,0.445
7/8/18 3:00,0.79675,0.57005,0.5044,0.445
7/8/18 3:10,0.79755,0.56935,0.5057,0.445
7/8/18 3:20,0.79785,0.56895,0.5063,0.446
7/8/18 3:30,0.79505,0.56855,0.5064,0.445
7/8/18 3:40,0.79445,0.56835,0.5074,0.445
7/8/18 3:50,0.79495,0.56845,0.5081,0.446
7/8/18 4:00,0.79535,0.56935,0.5093,0.444
7/8/18 4:10,0.79495,0.56735,0.5094,0.445
7/8/18 4:20,0.79555,0.56705,0.5092,0.444
7/8/18 4:30,0.79495,0.56755,0.5088,0.444
7/8/18 4:40,0.79395,0.56675,0.5072,0.445
7/8/18 4:50,0.79365,0.56755,0.5088,0.443
7/8/18 5:00,0.79295,0.56785,0.5082,0.445
7/8/18 5:10,0.79245,0.56785,0.5081,0.444
7/8/18 5:20,0.79125,0.56675,0.5072,0.443
7/8/18 5:30,0.79195,0.56735,0.5075,0.442
7/8/18 5:40,0.79305,0.56825,0.5096,0.444
7/8/18 5:50,0.79175,0.56715,0.5079,0.442
7/8/18 6:00,0.79115,0.56825,0.5065,0.445
7/8/18 6:10,0.79045,0.56825,0.5065,0.444
7/8/18 6:20,0.79055,0.56805,0.5073,0.443
7/8/18 6:30,0.79035,0.56815,0.5085,0.442
7/8/18 6:40,0.79065,0.56895,0.507,0.443
7/8/18 6:50,0.78825,0.56785,0.5057,0.441
7/8/18 7:00,0.78805,0.56885,0.5068,0.443
7/8/18 7:10,0.78755,0.56895,0.5071,0.443
7/8/18 7:20,0.78815,0.56995,0.5072,0.446
7/8/18 7:30,0.78865,0.57005,0.5085,0.446
7/8/18 7:40,0.78885,0.56995,0.5079,0.444
7/8/18 7:50,0.78865,0.57055,0.5096,0.445
7/8/18 8:00,0.78845,0.57145,0.509,0.444
7/8/18 8:10,0.78865,0.57105,0.509,0.443
7/8/18 8:20,0.78925,0.57135,0.5097,0.445
7/8/18 8:30,0.78835,0.57155,0.5095,0.445
7/8/18 8:40,0.78875,0.57215,0.509,0.443
7/8/18 8:50,0.78935,0.57355,0.5108,0.444
7/8/18 9:00,0.78895,0.57335,0.5107,0.442
7/8/18 9:10,0.78945,0.57395,0.5096,0.444
7/8/18 9:20,0.78955,0.57365,0.5097,0.444
7/8/18 9:30,0.79055,0.57335,0.5089,0.443
7/8/18 9:40,0.79245,0.57395,0.5106,0.443
7/8/18 9:50,0.79465,0.57465,0.5122,0.445
7/8/18 10:00,0.79505,0.57525,0.5126,0.443
7/8/18 10:10,0.79485,0.57525,0.5121,0.442
7/8/18 10:20,0.79505,0.57595,0.511,0.441
7/8/18 10:30,0.79985,0.57825,0.5126,0.442
7/8/18 10:40,0.79985,0.57855,0.5133,0.443
7/8/18 10:50,0.80055,0.57915,0.5141,0.444
7/8/18 11:00,0.80215,0.57915,0.5124,0.442
7/8/18 11:10,0.80365,0.57985,0.5156,0.443
7/8/18 11:20,0.80285,0.57665,0.5147,0.444
7/8/18 11:30,0.80345,0.57405,0.5122,0.442
7/8/18 11:40,0.80435,0.57165,0.5125,0.443
7/8/18 11:50,0.80485,0.57105,0.5144,0.443
7/8/18 12:00,0.80215,0.57055,0.5126,0.443
7/8/18 12:10,0.80015,0.57025,0.5103,0.444
7/8/18 12:20,0.79995,0.56835,0.5109,0.442
7/8/18 12:30,0.79855,0.56745,0.5108,0.443
7/8/18 12:40,0.79805,0.56725,0.5136,0.442
7/8/18 12:50,0.79835,0.56685,0.5144,0.444
7/8/18 13:00,0.80005,0.56655,0.5147,0.443
7/8/18 13:10,0.80005,0.56705,0.5142,0.444
7/8/18 13:20,0.79825,0.56755,0.5139,0.442
7/8/18 13:30,0.79845,0.56805,0.5139,0.443
7/8/18 13:40,0.79665,0.56855,0.5125,0.444
7/8/18 13:50,0.79645,0.56935,0.5134,0.443
7/8/18 14:00,0.79625,0.56865,0.5147,0.441
7/8/18 14:10,0.79765,0.56835,0.515,0.442
7/8/18 14:20,0.79755,0.56625,0.513,0.442
7/8/18 14:30,0.79715,0.56335,0.5106,0.441
7/8/18 14:40,0.79795,0.56205,0.5116,0.442
7/8/18 14:50,0.79825,0.56165,0.5116,0.441
7/8/18 15:00,0.79655,0.56035,0.5103,0.44
7/8/18 15:10,0.79505,0.55985,0.51,0.441
7/8/18 15:20,0.79535,0.55975,0.5097,0.441
7/8/18 15:30,0.79495,0.55915,0.5104,0.44
7/8/18 15:40,0.79465,0.55905,0.5112,0.443
7/8/18 15:50,0.79405,0.55855,0.5114,0.442
7/8/18 16:00,0.79465,0.55725,0.512,0.443
7/8/18 16:10,0.79485,0.55675,0.5133,0.443
7/8/18 16:20,0.79395,0.55475,0.5133,0.441
7/8/18 16:30,0.79415,0.55255,0.5156,0.441
7/8/18 16:40,0.79345,0.55005,0.5173,0.441
7/8/18 16:50,0.79365,0.54965,0.518,0.442
7/8/18 17:00,0.79415,0.54925,0.5171,0.441
7/8/18 17:10,0.79535,0.54805,0.5181,0.441
7/8/18 17:20,0.79535,0.54765,0.5184,0.444
7/8/18 17:30,0.79505,0.54765,0.518,0.443
7/8/18 17:40,0.79425,0.54815,0.5189,0.442