Label,NH3,H2S,NO3,O2,DOC,TDN,TotalN,Chloride,Fluoride,NO2,Nitrate,Sulfate,Lithium,Sodium,Potassium,Magnesium,Calcium
DS1,0.18,0.02,0.06,8.35,0.92,0.1,0.24,1.9525,0.012,1.9422,0.1257,0.7902,0,7.2396,3.1357,2.0506,10.4645
DS9,0,0.01,0.07,0,1.08,0.13,,2.25,0.0057,2.0738,0.2422,1.0014,0.0016,8.2907,2.487,1.8826,9.4699
DS11,0.64,0.16,0.1,0,12.01,0.26,0.74,2.62,0.0182,1.6556,0.2551,1.4052,0.004,13.4456,1.4573,1.2997,6.9702
DS12,0,0.02,0.06,0,1.2,0.11,,2.2138,0.0037,2.1027,0.2755,1.1921,0.0051,8.6418,2.987,1.9497,9.7109
DS13,0.07,0.05,0.07,0,0.79,0.11,0.14,2.1255,0.0263,2.1372,0.2716,1.129,0,5.7216,2.658,1.9183,9.7978
DS14,0.01,0.03,0.05,0,0.7,0.09,0.06,1.9951,0.0025,2.0426,0.2003,0.852,0.0014,5.7374,2.863,1.9377,9.8847
DS15,0.11,0.02,0.05,0,0.42,0.09,0.16,1.9781,0.0187,1.9626,0.1995,0.9456,0.0033,9.2446,2.9791,2.0636,10.2491
DS16,1.19,0.5,0.41,0,0.63,0.07,1.6,2.0477,0.016,2.0266,0.2858,1.002,0.0021,9.1506,2.8657,2.0245,10.1267
DS17,0.08,0.02,0.22,0,0.48,0.09,0.3,2.1394,0.0628,1.8965,0.1717,0.7553,0.0013,10.3222,2.2619,1.994,10.2174
DS18,0.2,0.08,0.22,0,1.07,0.09,0.42,2.0898,0.0605,1.8167,0.1998,0.8004,0.0011,9.1976,2.3397,1.9712,10.0264
DS19,0.59,0.1,0.22,0,0.87,0.1,0.81,2.0244,0.0506,1.9512,0.1501,0.8823,0.0013,9.3818,2.3638,2.0016,10.1633
DS20,0,0,0.07,0,0.96,0.1,0.07,4.1368,0.0803,1.8661,0.3283,0.8464,0.0012,12.107,1.7666,1.9183,9.7286
DS21,0,0,0.08,0,0.77,0.07,0.08,2.0276,0.0598,1.9152,0.3051,0.8725,0.0009,8.6844,2.5399,2.0099,10.3154
DS22,0.02,0,0.03,0,0.48,0.07,0.05,4.2577,0.034,1.9363,0.2855,0.8425,0.0012,12.6474,1.9369,1.9755,9.9545
DS23,0.14,0.01,0.05,0,0.8,0.12,0.19,2.0359,0.0641,1.9375,0.3169,0.8532,0.0012,9.1539,2.8531,2.0638,10.4386
DS24,0,0,0,0,0.55,0.08,0,2.0577,0.0471,1.8933,0.2882,0.8467,0.001,8.4236,2.4983,1.9744,10.1255
DS25,0,0.01,0.1,0,0.75,0.1,0.1,2.0521,0.0716,1.979,0.3196,0.8586,0.0012,9.2627,3.0013,2.0365,10.2925
Well 202,,,,,2.5,0.17,0,1.9066,0.0788,2.8955,0.4747,1.1097,0,6.6354,2.8509,1.9632,10.213
Well 200,,,,,1.48,0,0,2.1188,0,1.3302,0.0294,0.5491,0.001,2.277,0.4472,0.3092,1.8345
Sp. Box,0.13,0.01,0.86,7.61,0.15,0.16,0.99,1.9226,0.0063,1.6569,0.5809,0.6696,0.0076,5.907,2.4412,1.0611,6.0151
Howler Weir,BDL,BDL,0.01,7.65,0.87,0.1,,2.0262,0.0206,2.0665,0.2729,0.8957,0,6.2279,2.8911,1.8277,9.0362
Howler 2,0.07,0.08,0.12,7.9,0.47,0.14,0.19,1.9715,0.0229,2.1473,0.3173,0.8891,0,6.814,3.1311,1.885,9.36
HW Trib,BDL,BDL,0.03,6.03,1.69,1.31,,2.3764,0.0134,1.3719,0.0716,0.6523,0,5.4554,1.9509,0.8981,4.6966
Well 203,0.92,0.37,0.11,7.84,6.17,0,1.03,1.5514,0.0062,1.76,0.11,2.5605,0.0009,3.8446,1.5218,1.3198,8.5819
TR,0.24,0.03,0.13,7.66,4.79,0,0.37,1.9582,0.0016,1.675,0.1243,0.7158,0,5.1114,1.9215,1.6219,7.5761
TLL,0.52,0.02,0.38,2.58,0.93,3.3,0.9,448.6768,0.3549,6.0485,12.4471,389.0404,0.0823,248.2029,33.0049,66.5887,120.3139
Well 205,0.45,0.33,2.34,15.99,2.8,0,2.79,2.2126,0.0172,1.9673,0.2114,2.2021,0.0013,6.2936,2.4372,1.8073,10.5651
Rain 1,,,,,,,,2.09,0.058,0.306,0.242,0.66,0.003,5.169,0.109,0.076,0.299
Rain 2,,,,,,,,0.831,0,0.247,0.164,0.413,0.001,2.519,0.142,0.045,0.225