Sample ID,Mo (ug/kg),Cd (ug/kg),Sb (ug/kg),Pb (ug/kg),U (ug/kg),Al (ug/kg),Si (mg/kg),P (ug/kg),S (ug/kg),Ca (mg/kg),Cr (ug/kg),Mn (ug/kg),Fe (ug/kg),Co (ug/kg),Ni (ug/kg),Cu (ug/kg),Ti (ug/kg),Zn (ug/kg),B (ug/kg),Sr (ug/kg),K (mg/kg),As (ug/kg), Na (mg/kg),Mg (mg/kg),Q (m3/L),Date
SP BOX,-0.13,0.00,1.77,0.01,-0.05,-0.42,17.68,19.55,250.24,4.78,0.02,0.03,-0.21,0.00,0.02,0.03,0.01,15.08,44.51,73.00,2.23,0.05,4.90,1.67,,
US UP ,0.14,2.38,0.03,0.21,-0.03,165.67,25.06,9.55,299.72,6.05,0.35,0.69,60.15,0.01,0.08,0.78,1.29,53.76,5675.69,82.57,2.45,1.13,7.23,1.98,,
US 09,0.23,15.24,4.14,0.07,0.05,4.13,57.82,31.18,832.70,17.20,0.09,0.61,6.95,0.05,0.14,0.39,0.15,72.72,78.69,219.72,5.59,0.69,10.83,5.98,0.001367296,7/7/18 9:53
US 10,0.25,0.66,3.72,0.06,0.05,3.64,57.39,31.92,828.82,17.37,0.06,0.43,3.15,0.02,0.09,0.48,0.15,53.11,102.94,221.34,5.57,0.66,11.09,6.02,,
US 11,0.15,0.86,3.35,0.04,0.04,22.41,48.74,26.07,871.45,15.16,0.11,0.36,12.58,0.06,0.10,0.78,0.41,37.80,170.90,194.36,5.35,0.60,10.07,5.18,0.002512286,7/7/18 13:30
US 12,,,,,,2.17,63.05,27.30,980.11,15.92,0.70,0.06,2.12,0.01,0.11,0.66,0.54,26.00,11126.84,201.69,5.23,0.63,14.95,5.58,0.001210554,7/7/18 15:27
US 13,,,,,,282.84,60.67,29.53,943.83,16.30,0.87,0.65,9.76,0.03,0.12,1.31,4.09,36.37,13404.54,210.31,5.33,0.65,15.70,5.69,0.001292916,7/7/18 17:45
US 14,,,,,,173.12,28.22,13.75,426.86,7.44,0.42,0.24,4.95,0.00,0.04,0.76,2.52,16.26,8213.21,95.44,2.54,0.30,9.00,2.73,0.001099945,7/7/18 19:45
US 15,0.01,31.62,1.80,0.04,-0.01,0.89,25.52,13.55,411.09,7.55,0.02,0.30,1.56,0.01,0.04,0.74,0.05,22.43,64.01,95.91,2.57,0.27,5.36,2.76,0.000930142,7/7/18 21:30
US 16,,,,,,139.74,25.64,11.18,345.25,7.12,0.29,0.41,4.77,0.00,0.05,0.41,1.08,39.23,4700.77,90.08,2.49,1.12,6.98,2.61,0.001098578,7/7/18 23:40
US 17,0.22,0.08,0.03,0.20,0.00,162.00,27.78,13.90,856.95,7.32,0.48,0.25,3.76,0.00,0.06,0.43,1.29,136.18,5615.97,97.00,1.91,1.25,9.97,2.68,0.001170706,7/8/18 1:50
US 18,0.22,0.69,0.03,0.22,0.00,175.29,28.34,13.83,352.34,7.61,0.34,0.27,4.06,0.01,0.05,1.19,1.39,27.62,6111.61,95.28,2.68,1.28,7.06,2.69,0.0009143,7/8/18 3:45
US 19,0.21,0.40,0.03,0.18,0.00,156.92,27.74,13.65,360.27,7.44,0.29,0.23,3.74,0.00,0.03,0.38,1.23,42.26,5356.21,94.37,2.68,1.32,7.29,2.71,0.001116438,7/8/18 6:05
US 20,0.20,0.36,0.03,0.20,0.00,162.90,28.54,14.08,357.52,7.70,0.29,0.22,4.03,0.01,0.04,0.39,1.34,12.26,5491.65,98.02,2.69,1.18,6.92,2.71,0.001569131,7/8/18 7:56
US 21,0.23,0.22,0.03,0.21,0.00,167.74,28.75,14.55,370.50,7.85,0.34,0.19,3.74,0.01,0.04,0.40,1.31,59.38,6149.54,98.65,2.76,1.44,8.03,2.70,0.001170706,7/8/18 10:00
US 22,0.22,2.65,0.03,0.18,0.00,147.17,27.67,14.54,365.25,7.74,0.48,0.21,6.67,0.09,0.04,0.36,1.14,126.70,5246.81,96.85,2.66,1.23,7.99,2.70,0.001284101,7/8/18 12:10
US 23,0.22,0.10,0.03,0.24,0.00,166.97,28.81,14.95,370.72,7.58,0.32,0.54,6.20,0.03,0.05,0.63,1.33,37.51,5380.49,96.53,2.74,1.34,7.90,2.55,0.001167065,7/8/18 13:59
US 24,0.23,0.18,0.03,0.22,0.00,170.82,27.39,13.67,350.15,7.30,0.35,0.36,3.66,0.00,0.03,0.49,1.32,37.28,6017.96,92.19,2.70,1.31,7.92,2.73,0.001662822,7/8/18 15:40
US 25,0.21,0.15,0.03,0.19,0.00,179.65,27.00,14.48,362.52,7.53,0.37,0.28,4.12,0.00,0.03,0.42,1.39,64.43,5929.23,95.45,2.73,1.34,7.88,2.80,0.001403843,7/8/18 17:40
DS 10,,,,,,270.07,57.82,24.25,970.30,16.11,0.86,1.78,16.64,0.02,0.15,3.39,3.83,59.65,12361.53,207.63,5.39,0.56,17.78,5.75,0.003209955,7/7/18 11:30
DS 11,,,,,,853.77,49.33,18.05,1324.32,12.75,2.72,10.36,259.38,0.13,0.46,4.04,9.74,225.48,30304.03,157.29,4.54,0.49,24.01,4.11,0.005095655,7/7/18 13:30
DS 12,,,,,,398.87,56.97,23.08,1039.84,15.59,0.97,1.76,28.44,0.04,0.17,2.16,5.63,42.49,17424.75,198.91,4.97,0.57,17.42,5.40,0.002817985,7/7/18 15:53
DS 13,0.18,1.66,4.20,0.05,0.00,18.41,51.44,23.25,801.71,15.86,0.04,1.26,16.02,0.03,0.10,0.74,0.30,36.10,152.13,199.80,5.13,0.60,10.99,5.46,0.003564213,7/7/18 17:35
DS 14,0.01,3.11,1.66,0.02,-0.02,5.40,23.54,10.69,337.65,7.11,0.01,0.44,2.83,0.01,0.02,0.23,0.08,4.93,13.23,89.16,2.27,0.27,4.45,2.55,0.003075891,7/7/18 19:40
DS 15,,,,,,1.36,27.23,10.92,402.77,6.82,0.29,0.22,1.68,0.00,0.04,0.55,0.32,23.97,4676.31,86.73,2.21,0.28,6.94,2.48,0.002755616,7/7/18 21:35
DS 16,0.00,0.04,1.58,0.02,-0.03,4.17,24.07,10.95,350.05,7.33,0.01,0.40,2.49,0.00,0.02,0.33,0.06,27.62,53.35,92.55,2.37,0.27,5.11,2.64,0.00251446,7/7/18 23:50
DS 17,0.19,0.95,0.03,0.21,-0.02,166.84,26.26,10.35,335.93,7.03,0.30,0.57,6.76,0.01,0.06,0.41,1.35,31.49,5698.78,88.66,2.45,1.23,6.86,2.51,0.003010143,7/8/18 1:30
DS 18,0.17,0.08,0.03,0.19,-0.02,156.16,25.18,10.52,352.05,6.84,0.32,0.56,6.00,0.01,0.05,0.63,1.28,33.40,5198.65,86.20,2.49,1.22,7.10,2.43,0.003488449,7/8/18 3:50
DS 19,0.18,0.11,0.04,0.22,-0.02,159.11,25.81,9.99,348.42,6.90,0.31,0.72,5.70,0.01,0.06,0.61,1.24,31.98,5655.69,87.02,2.38,1.19,6.69,2.40,0.002817985,7/8/18 5:30
DS 20,0.17,1.08,0.03,0.26,-0.02,192.51,26.52,10.62,358.61,7.05,0.34,0.60,7.81,0.06,0.08,0.64,1.57,37.48,6365.97,87.88,2.56,1.35,7.42,2.46,0.004034967,7/8/18 7:51
DS 21,0.21,0.51,0.03,0.24,-0.01,184.64,26.58,10.86,348.54,7.03,0.35,0.66,5.82,0.01,0.04,0.48,1.49,37.77,6830.28,89.27,2.56,1.47,7.88,2.46,0.002881193,7/8/18 9:40
DS 22,0.18,1.15,0.03,0.19,-0.01,155.85,26.25,11.03,346.84,7.24,0.28,0.44,5.19,0.01,0.03,0.43,1.26,53.26,5329.52,88.65,2.37,1.14,7.12,2.34,0.002881193,7/8/18 12:00
DS 23,0.21,0.09,0.03,0.22,-0.01,175.28,26.93,11.74,351.73,7.18,0.34,0.49,5.69,0.00,0.04,0.47,1.38,36.37,5868.20,90.87,2.28,1.16,6.80,2.17,0.002890603,7/8/18 14:01
DS 24,0.19,0.38,0.03,0.22,-0.02,169.50,25.88,11.66,359.12,7.27,0.30,0.56,8.09,0.01,0.04,0.47,1.34,41.66,5597.78,88.82,2.60,1.25,7.80,2.67,0.003856304,7/8/18 15:50
DS 25,0.22,0.20,0.03,0.23,-0.02,196.86,26.20,12.48,369.30,7.38,0.41,0.50,7.15,0.01,0.04,0.52,1.54,85.55,6104.07,91.75,2.47,1.34,7.81,2.70,0.003278277,7/8/18 17:30
howler 2,0.03,0.00,2.07,0.01,0.00,7.15,26.53,15.06,365.61,7.93,0.01,0.19,0.80,0.00,0.02,0.30,0.06,43.30,37.78,99.93,2.55,0.30,5.29,2.80,,
howler weir,0.11,0.28,1.97,0.02,-0.02,7.37,28.00,13.47,401.16,8.43,0.01,0.89,2.78,0.01,0.03,0.23,0.09,18.59,45.26,104.71,2.79,0.31,6.08,3.16,,
HW TRIB,-0.11,0.01,0.01,0.02,-0.05,7.10,20.40,2.39,350.41,5.14,0.02,1.12,7.27,0.01,0.04,0.40,0.13,56.63,42.44,79.06,2.19,0.04,5.98,1.79,,
PBL,0.00,0.00,0.14,0.04,-0.04,72.83,11.80,1.99,5388.17,9.22,0.05,50.00,116.32,0.12,0.12,1.11,0.66,85.55,126.13,102.90,1.20,3.19,6.76,2.26,,
PBM,0.07,0.00,2.45,0.03,-0.03,119.00,12.28,2.22,7600.24,10.72,0.03,14.02,36.74,0.09,0.10,1.29,0.58,14.52,290.74,124.03,1.43,8.13,9.64,2.08,,
PBU,0.00,0.01,1.90,0.02,-0.04,86.80,10.43,4.88,4429.66,9.43,0.06,11.94,28.11,0.10,0.11,0.71,0.13,21.13,42.39,95.24,0.80,0.31,3.28,1.96,,
PBU SP,0.08,0.00,1.74,0.01,-0.05,2.09,12.24,9.41,1474.74,11.02,0.02,329.21,1795.52,0.65,0.14,0.20,0.05,16.55,-3.25,109.40,0.56,1.93,3.77,2.24,,
Rain 1,0.05,0.14,0.03,0.20,-0.04,292.00,5.48,3.04,376.20,0.29,0.64,5.37,10.70,0.63,0.24,1.35,3.42,53.48,12283.60,2.62,0.18,1.96,6.71,0.14,,
WELL 200,-0.13,0.05,0.01,0.01,-0.04,1.47,5.59,0.57,207.30,1.49,0.02,16.70,0.74,0.01,0.26,0.30,0.01,92.15,52.39,17.02,0.34,0.01,2.01,0.51,,
WELL 202,0.15,0.12,3.05,0.07,-0.01,72.61,26.64,8.71,585.05,8.57,0.15,5.55,30.64,0.04,0.46,45.74,1.88,197.73,225.81,104.53,1.87,0.37,7.34,3.11,,
WELL 203,-0.13,0.16,0.09,1.98,0.26,2899.36,15.37,8.31,1174.43,9.67,1.11,446.91,2593.57,5.75,3.08,59.86,6.53,94.67,171.86,108.26,1.12,0.12,5.24,2.60,,
WELL 205,0.02,0.20,0.04,0.08,-0.02,89.62,23.08,1.83,932.52,7.97,0.04,109.82,87.81,0.13,0.25,0.54,3.20,73.71,105.20,99.21,2.14,0.17,4.71,2.50,,
ins 2 t1,0.93,0.04,0.10,0.80,2.00,-0.47,28.47,3.39,2955.56,26.12,1.20,0.53,10.96,0.00,0.07,0.70,0.04,14.64,69.66,297.16,10.21,2.54,19.46,8.43,,
l5 335 p,11.11,1.48,0.09,0.35,1.71,35.07,22.15,20.30,16174.75,1.20,0.03,2.55,14.90,0.03,0.05,2.45,0.29,9.08,725.94,26.19,2.23,75.52,86.37,0.10,,
mex 3 t1,3.32,1.04,0.06,0.30,8.12,-0.24,26.03,2.71,9225.06,55.20,0.83,0.30,1.26,0.04,0.35,1.77,0.02,22.93,91.91,481.47,12.81,6.71,34.93,9.37,,
SLR,33.09,0.19,0.16,0.09,43.27,-0.37,23.40,1.94,24095.19,48.91,0.10,4.71,1.81,0.08,0.11,0.19,0.03,23.25,317.40,422.98,13.23,8.44,46.66,7.73,,
well 201,0.72,0.75,0.08,0.00,0.01,-0.93,4.32,0.38,180.91,20063.97,-0.02,2720.54,336.79,6.20,0.74,0.14,-0.87,22.82,6.24,197.65,0.40,0.17,2.13,4.22,,
well 205,0.19,0.67,0.23,0.03,0.03,0.49,12.72,0.85,305.57,6567.67,-0.01,145.93,15.64,0.42,0.23,0.47,-0.87,34.28,4.79,84.37,2.15,0.06,4.55,2.24,,
sp 38,0.01,0.02,0.02,0.02,0.01,0.71,10.79,3.25,200.36,5982.73,-0.02,3.54,4.20,0.01,0.01,0.30,-0.84,14.70,3.16,66.67,1.57,-0.04,4.18,2.22,,
sp 39,-0.05,0.04,0.15,0.02,0.02,2.47,9.92,1.48,232.24,5297.04,-0.01,2.18,4.34,0.01,0.01,0.40,-0.90,6.96,3.82,63.12,1.65,-0.06,3.77,2.03,,
rain 6,-0.25,0.11,0.03,0.06,0.02,1.22,-0.02,0.18,190.19,173.54,0.04,1.50,1.44,0.17,0.13,0.55,-1.13,70.68,3.59,1.66,0.12,-0.19,0.78,0.09,,
hm 6,-0.07,0.11,0.12,0.07,0.02,2.08,12.89,3.74,255.12,7455.79,-0.01,0.10,1.47,0.00,0.04,0.47,-1.04,27.52,3.64,86.12,2.37,0.04,4.73,2.67,,
monte verde,-0.21,0.56,0.01,0.03,0.00,14.27,2.95,0.68,503.37,2173.26,0.04,10.37,27.65,0.02,0.04,2.10,-0.65,18.12,3.52,22.01,0.78,-0.19,1.66,0.69,,
hm 7,-0.08,0.42,0.02,0.01,0.03,1.35,12.98,6.35,227.29,7295.38,0.00,0.08,3.49,0.00,0.03,0.17,-0.88,5.40,3.73,84.49,2.24,-0.04,4.60,2.55,,
ch 7,-0.17,0.10,0.10,0.06,0.03,4.45,6.80,2.38,240.62,4933.78,-0.01,0.25,2.39,0.00,0.03,0.33,-0.85,8.21,2.56,52.13,0.96,-0.18,3.06,1.77,,
well 200,0.57,0.21,0.09,0.02,0.04,0.21,2.26,0.22,122.20,1629.73,-0.02,262.57,32.15,0.38,0.14,0.19,-0.17,14.30,2.70,18.25,0.25,0.08,1.62,0.60,,
ch 4,0.31,0.15,1.17,0.04,0.01,8.47,6.55,2.20,208.87,4549.25,0.00,0.23,3.81,0.01,0.05,0.25,0.04,0.44,3.60,52.80,0.91,0.09,2.98,1.60,,
ch 5,0.13,0.16,0.14,0.05,0.01,5.82,7.02,1.65,283.69,4899.44,-0.01,0.28,2.74,0.01,0.04,0.23,-0.03,19.55,3.80,52.28,0.95,0.09,3.07,1.73,,
rain 5,0.07,29.27,0.07,0.21,0.01,4.13,0.04,0.60,192.22,248.32,0.01,3.58,110.27,0.13,1.30,2.60,-0.04,39.46,5.91,2.15,0.78,0.01,0.99,0.16,,
hm 5,0.15,0.01,0.03,0.02,0.03,4.20,12.92,6.07,234.99,7393.17,-0.01,0.25,4.96,0.01,0.03,0.19,-0.09,25.51,4.97,83.99,2.31,0.22,4.49,2.56,,
ch 6,0.04,0.01,0.02,0.02,0.01,5.64,6.94,2.50,220.14,4561.49,-0.02,0.16,2.73,0.00,0.02,0.77,-0.13,9.93,3.44,51.27,0.88,0.07,2.87,1.62,,
ch 2,0.02,0.01,1.75,0.03,0.01,50.82,4.35,0.86,220.15,3029.57,-0.01,0.49,19.74,0.02,0.03,0.53,0.64,0.93,4.28,34.02,0.74,0.02,2.22,1.11,,
hm 3,0.10,0.04,1.40,0.02,0.02,1.34,13.29,6.23,266.35,7149.23,-0.02,0.10,1.62,0.01,0.05,0.15,-0.21,2.08,4.87,82.43,2.24,0.17,4.52,2.59,,
ch 3,0.03,0.03,0.93,0.03,0.01,6.53,7.33,2.53,225.17,4729.62,-0.03,0.13,2.25,0.00,0.02,0.54,-0.13,1.29,3.61,54.38,0.97,0.01,3.03,1.73,,
rio celeste,0.09,0.03,0.73,0.01,0.01,12.46,8.88,0.72,9619.18,12612.83,-0.01,85.99,47.15,0.07,0.06,0.14,-0.05,4.32,181.81,54.72,1.16,0.92,5.09,3.24,,
hm 4,0.13,0.13,0.05,0.03,0.02,1.99,12.72,5.85,259.87,7688.43,0.00,0.35,1.97,0.00,0.04,0.13,-0.15,39.89,5.74,84.75,2.31,0.24,4.54,2.59,,
rain 3,0.55,0.05,0.07,0.03,0.00,-0.46,-0.03,0.43,13.54,-50.56,0.00,0.21,0.30,0.04,0.10,0.57,-0.11,18.72,-0.11,0.22,0.07,0.04,0.05,0.00,,
hm 1,0.23,0.01,0.02,0.01,0.02,1.49,13.67,5.91,252.16,6943.62,-0.02,0.05,2.08,0.00,0.01,0.16,-0.18,33.78,5.34,79.84,2.20,0.14,4.27,2.45,,
ch 1,0.14,0.05,1.07,0.01,0.01,11.54,6.72,2.04,239.52,4265.66,0.00,0.15,6.58,0.00,0.03,0.29,0.02,0.61,3.90,47.14,0.89,0.07,2.82,1.54,,
rain 4,0.28,13.06,1.47,0.15,0.01,0.23,-0.02,0.95,37.73,-31.60,0.00,0.43,2.01,0.05,0.15,1.51,-0.21,9.92,2.78,0.40,0.20,0.02,0.12,0.01,,
hm 2,0.13,0.01,1.84,0.02,0.02,13.64,8.75,4.95,266.52,5269.08,0.00,0.35,11.78,0.01,0.04,0.41,0.01,0.58,6.93,62.63,2.14,0.15,3.40,1.78,,
uw 1,0.19,0.00,0.04,0.02,0.12,1.35,14.57,8.83,248.09,7422.58,-0.01,0.80,4.86,0.00,0.02,0.09,-0.12,14.88,4.96,87.69,2.33,0.24,4.51,2.64,,
sp 32,0.13,0.13,0.02,0.04,0.09,2.64,11.03,4.76,208.87,5404.81,-0.01,0.99,10.50,0.01,0.02,0.28,-0.05,7.69,4.27,68.15,1.79,0.12,3.67,2.04,,
sp 30,0.19,0.05,0.02,0.07,0.14,-0.01,14.35,4.68,269.20,7458.67,0.00,3.46,5.46,0.02,0.01,0.47,-0.11,10.59,4.21,83.35,2.28,0.18,4.50,2.95,,
sp 14,0.18,0.09,0.25,0.12,0.12,-0.16,14.14,4.49,366.73,7450.11,0.02,0.30,5.13,0.00,0.02,0.29,-0.26,9.95,4.64,84.27,2.08,0.24,4.60,2.79,,
sp 20,0.73,0.08,0.12,0.05,0.66,2.82,12.01,5.16,262.60,6608.92,0.16,0.78,12.98,0.01,0.10,0.34,0.07,9.88,6.93,74.42,1.92,0.22,3.96,2.42,,
spb 1,0.20,0.22,1.09,0.02,0.08,-0.05,9.74,12.21,178.30,4857.70,0.00,0.12,2.07,0.02,0.10,0.61,-0.11,4.88,4.36,67.06,2.14,0.08,4.28,1.56,,
well 206,0.19,0.06,3.94,0.02,0.09,0.78,4.35,0.83,465.96,2820.45,0.06,15.54,2.26,0.14,0.12,0.40,-0.11,3.04,3.52,31.18,0.76,0.03,2.33,0.89,,
rain 7,0.03,3.80,0.40,0.03,0.09,0.28,-0.03,0.19,55.75,-48.02,0.00,0.46,3.80,0.04,0.04,0.36,-0.21,36.18,0.19,0.26,0.03,0.01,0.10,0.02,,
ch 8,0.10,0.81,0.14,0.04,0.12,13.25,7.23,2.11,269.32,4452.30,-0.01,0.42,5.33,0.01,0.02,0.27,-0.08,17.68,4.03,50.70,0.93,0.05,2.87,1.67,,
hm 8,0.15,0.18,0.05,0.02,0.11,4.41,13.53,7.00,249.50,6920.65,-0.02,0.24,4.99,0.01,0.01,0.13,-0.21,5.11,4.83,81.47,2.15,0.23,4.26,2.50,,
tq 3,0.13,0.65,0.08,0.58,0.14,-0.27,12.03,9.44,265.59,8337.40,0.02,0.10,4.39,0.01,0.03,0.68,-0.19,9.93,3.94,92.23,1.59,0.10,4.27,2.80,,
f 2,0.21,17.81,1.06,0.09,0.20,1.35,12.41,9.31,252.55,8686.70,0.03,0.39,20.28,0.01,0.13,0.82,0.13,2.93,3.90,95.07,1.61,0.13,4.45,3.10,,
f 1,0.05,3.29,0.72,0.02,0.15,-0.20,9.93,12.33,163.36,5326.24,-0.01,0.09,1.85,0.00,0.02,0.31,-0.13,1.02,3.84,72.87,1.88,0.04,4.40,1.53,,
tq 2,0.11,1.72,0.02,0.08,0.11,-0.19,12.55,9.42,239.47,7791.93,0.00,0.11,3.00,0.00,0.08,0.71,-0.12,10.20,5.10,91.50,1.61,0.09,4.34,2.85,,
tad1,0.11,6.79,0.10,0.04,0.13,-0.11,12.40,8.78,237.35,7854.10,-0.01,0.08,2.55,0.00,0.02,0.49,-0.17,8.95,4.10,90.89,1.53,0.13,4.29,2.89,,
ta 3,0.11,6.33,0.02,0.07,0.15,0.61,12.18,8.62,240.68,7967.81,0.02,0.25,4.02,0.02,0.14,0.38,-0.15,23.70,3.94,92.59,1.62,0.08,4.32,2.93,,
tq 6,0.11,26.20,0.06,0.10,0.17,0.21,12.31,9.69,222.33,7528.62,0.02,0.19,3.40,0.02,0.78,1.22,-0.13,12.52,3.85,91.11,1.55,0.10,4.33,2.72,,
tq 5,0.68,2.22,0.03,0.05,0.15,0.06,12.01,7.19,215.42,7649.04,0.01,0.17,4.03,0.01,0.55,0.73,-0.14,26.17,5.14,89.33,1.55,0.14,4.23,2.82,,
tq 4,1.00,0.22,0.04,0.31,0.05,0.70,12.30,11.29,589.38,7885.56,0.08,1.24,576.85,0.24,117.54,2.59,-0.01,25.54,4.42,91.23,1.61,0.19,4.52,2.87,,
ta 1,0.21,0.29,0.85,0.08,0.14,0.01,12.10,1.11,233.43,7729.51,0.00,0.11,5.40,0.03,0.08,0.07,-0.15,7.03,4.08,89.04,1.54,0.13,4.25,2.80,,
tr,21.20,0.22,1.11,0.15,0.29,3.10,44.12,125.59,71505.93,57015.48,0.04,135.01,16.21,0.04,0.08,1.36,0.25,1.79,1003.74,358.49,17.14,7.18,69.29,36.16,,
f park,0.35,0.04,0.02,1.24,0.20,0.32,15.36,20.63,254.57,10848.68,0.06,0.16,3.69,0.01,0.04,0.59,-0.02,11.55,9.36,77.54,1.37,0.22,5.44,2.56,,
1968.00000,0.96,0.23,0.04,0.17,0.17,1.26,27.04,44.38,11352.18,26764.82,0.03,1.04,3.55,0.01,0.10,0.76,0.14,12.26,137.07,178.30,3.86,0.46,23.06,12.46,,
que rico,3.58,0.08,0.13,0.12,0.15,0.67,22.15,74.42,13593.13,14076.10,0.09,0.13,5.18,0.01,0.05,1.49,-0.03,10.83,113.59,97.50,2.40,4.18,14.56,8.42,,
asis,0.19,0.02,0.01,0.07,0.20,1.46,11.06,12.42,231.02,11084.39,0.07,0.12,4.38,0.00,0.03,0.50,-0.04,8.18,5.45,85.05,1.15,0.09,4.11,3.89,,
fsc 1,1.00,0.20,0.97,0.15,0.16,0.88,17.96,5.98,2096.59,16775.40,0.03,30.67,5.92,0.02,0.23,0.22,-0.06,17.54,18.06,317.89,2.95,40.54,14.87,4.30,,
fsc 2,2.07,0.03,3.04,0.04,0.26,2.11,40.09,10.26,13308.71,42635.80,0.02,79.59,103.55,0.02,0.06,0.11,0.26,7.03,8981.63,1276.88,32.40,438.27,188.35,2.84,,
fsc 3,2.57,0.04,6.86,0.28,0.33,2.20,41.98,30.36,18511.34,55282.21,0.02,132.48,794.18,0.33,0.18,0.51,0.45,13.39,10768.76,1647.09,38.32,752.85,220.07,4.18,,
sucre,0.18,0.04,0.66,0.04,0.08,-0.12,14.89,7.25,2255.11,6837.80,0.01,0.16,2.99,0.01,0.05,0.56,-0.11,4.21,21.49,48.60,1.75,1.69,3.05,2.68,,
zapote,0.16,0.04,0.80,2.61,0.10,-0.05,14.96,11.04,1177.80,9026.50,0.28,0.28,17.65,0.03,0.16,7.93,-0.02,13.11,12.05,80.03,1.43,1.18,4.06,3.96,,